clay,sand,bd,h333,h15000
9.0,79.0,1.328,0.16899999999999998,0.08800000000000001
8.0,81.0,1.431,0.163,0.094
12.0,73.0,1.443,0.21100000000000002,0.102
12.0,76.0,1.4180000000000001,0.268,0.107
13.0,74.0,1.4280000000000002,0.228,0.113
12.0,76.0,1.38,0.242,0.106
11.0,76.0,1.4080000000000001,0.215,0.077
11.0,76.0,1.3940000000000001,0.209,0.078
10.0,76.0,1.2890000000000001,0.19699999999999998,0.081
21.0,68.0,1.486,0.228,0.154
18.0,69.0,1.499,0.23,0.14
17.0,64.0,1.453,0.231,0.139
23.0,67.0,1.525,0.266,0.171
25.0,65.0,1.429,0.258,0.165
25.0,65.0,1.55,0.303,0.177
12.0,76.0,1.482,0.254,0.10800000000000001
13.0,76.0,1.483,0.223,0.11
11.0,77.0,1.442,0.244,0.102
13.0,72.0,1.541,0.228,0.11
13.0,72.0,1.521,0.217,0.106
12.0,73.0,1.4869999999999999,0.225,0.099
16.0,69.0,1.45,0.22,0.126
16.0,70.0,1.464,0.221,0.128
17.0,68.0,1.406,0.223,0.12300000000000001
16.0,69.0,1.371,0.23600000000000002,0.138
8.0,84.0,1.386,0.18600000000000003,0.113
19.0,67.0,1.3630000000000002,0.237,0.14
20.0,35.0,1.31,0.358,0.152
19.0,36.0,1.258,0.359,0.138
20.0,34.0,1.304,0.317,0.155
16.0,35.0,1.4880000000000002,0.28600000000000003,0.124
20.0,33.0,1.5290000000000001,0.332,0.11699999999999999
13.0,34.0,1.4809999999999999,0.3,0.124
50.0,20.0,1.5930000000000002,0.35700000000000004,0.3
51.0,17.0,1.5819999999999999,0.386,0.292
52.0,19.0,1.5219999999999998,0.391,0.29
25.0,63.0,1.715,0.309,0.22899999999999998
28.0,57.0,1.66,0.34600000000000003,0.239
25.0,64.0,1.685,0.298,0.201
16.0,78.0,1.328,0.251,0.127
16.0,74.0,1.251,0.247,0.135
15.0,75.0,1.2409999999999999,0.304,0.12300000000000001
32.0,49.0,1.6019999999999999,0.294,0.22
22.0,64.0,1.611,0.252,0.146
31.0,50.0,1.594,0.28,0.177
28.0,44.0,1.567,0.33899999999999997,0.18899999999999997
29.0,44.0,1.506,0.28300000000000003,0.212
29.0,46.0,1.597,0.28600000000000003,0.213
26.0,47.0,1.5390000000000001,0.298,0.196
26.0,48.0,1.5819999999999999,0.273,0.198
24.0,49.0,1.4,0.262,0.147
41.0,31.0,1.547,0.424,0.278
44.0,29.0,1.598,0.42700000000000005,0.298
40.0,32.0,1.59,0.389,0.292
18.0,62.0,1.4969999999999999,0.32899999999999996,0.141
18.0,63.0,1.507,0.27399999999999997,0.14400000000000002
19.0,61.0,1.546,0.324,0.141
23.0,52.0,1.5,0.303,0.152
23.0,53.0,1.567,0.223,0.153
36.0,44.0,1.5530000000000002,0.278,0.159
38.0,43.0,1.614,0.36,0.254
41.0,40.0,1.58,0.348,0.242
41.0,40.0,1.614,0.33399999999999996,0.254
27.0,58.0,1.7209999999999999,0.34299999999999997,0.223
31.0,55.0,1.723,0.358,0.22699999999999998
27.0,61.0,1.666,0.36200000000000004,0.26
37.0,44.0,1.651,0.364,0.243
35.0,44.0,1.5219999999999998,0.355,0.23199999999999998
39.0,39.0,1.531,0.335,0.23399999999999999
25.0,65.0,1.635,0.293,0.183
26.0,64.0,1.659,0.311,0.187
26.0,63.0,1.689,0.311,0.20600000000000002
7.0,77.0,1.4769999999999999,0.191,0.055999999999999994
7.0,78.0,1.484,0.245,0.053
9.0,71.0,1.3019999999999998,0.207,0.047
39.0,47.0,1.611,0.34700000000000003,0.205
41.0,47.0,1.6030000000000002,0.341,0.251
42.0,45.0,1.724,0.35200000000000004,0.276
36.0,41.0,1.5819999999999999,0.374,0.297
35.0,43.0,1.6059999999999999,0.37799999999999995,0.285
37.0,43.0,1.597,0.392,0.27699999999999997
20.0,70.0,1.51,0.297,0.182
19.0,69.0,1.298,0.32299999999999995,0.196
15.0,74.0,1.3980000000000001,0.309,0.20199999999999999
21.0,64.0,1.611,0.271,0.102
15.0,69.0,1.6030000000000002,0.253,0.163
19.0,67.0,1.526,0.233,0.125
27.0,62.0,1.6480000000000001,0.307,0.21
26.0,61.0,1.6440000000000001,0.281,0.19699999999999998
31.0,58.0,1.605,0.29600000000000004,0.235
27.0,60.0,1.65,0.318,0.231
34.0,49.0,1.6780000000000002,0.344,0.254
30.0,53.0,1.735,0.309,0.245
27.0,43.0,0.68,0.389,0.201
26.0,38.0,0.78,0.371,0.207
38.0,33.0,0.9,0.354,0.222
52.0,24.0,1.11,0.34700000000000003,0.264
56.0,23.0,1.12,0.36700000000000005,0.28
56.0,23.0,1.19,0.38299999999999995,0.31
32.0,48.0,1.5,0.313,0.185
45.0,38.0,1.56,0.35200000000000004,0.267
46.0,38.0,1.59,0.369,0.284
61.0,20.0,1.47,0.42,0.344
61.0,20.0,1.45,0.44299999999999995,0.349
64.0,24.0,1.54,0.434,0.36700000000000005
57.0,26.0,1.04,0.31,0.196
60.0,23.0,1.42,0.3,0.214
64.0,19.0,1.42,0.364,0.26
66.0,17.0,1.45,0.38799999999999996,0.282
66.0,18.0,1.5,0.40700000000000003,0.298
65.0,16.0,1.5,0.41600000000000004,0.32
67.0,14.0,1.54,0.40399999999999997,0.317
66.0,13.0,1.57,0.406,0.331
63.0,31.0,1.15,0.34700000000000003,0.222
51.0,32.0,1.37,0.377,0.292
50.0,33.0,1.52,0.37200000000000005,0.281
51.0,32.0,1.54,0.37,0.271
52.0,34.0,1.59,0.36700000000000005,0.29
6.0,90.0,1.26,0.121,0.046
6.0,88.0,1.34,0.096,0.032
3.0,91.0,1.44,0.085,0.026000000000000002
26.0,66.0,1.83,0.276,0.191
31.0,52.0,1.83,0.34299999999999997,0.21
26.0,52.0,1.22,0.205,0.08
21.0,55.0,1.46,0.24600000000000002,0.111
33.0,49.0,1.44,0.252,0.138
65.0,24.0,1.53,0.38799999999999996,0.307
51.0,35.0,1.54,0.386,0.305
41.0,39.0,1.25,0.376,0.271
51.0,31.0,1.38,0.415,0.32799999999999996
60.0,23.0,1.43,0.462,0.376
48.0,39.0,1.22,0.345,0.254
56.0,30.0,1.32,0.42,0.34600000000000003
60.0,26.0,1.37,0.429,0.35100000000000003
58.0,26.0,1.44,0.43,0.33399999999999996
2.0,92.0,1.35,0.122,0.051
2.0,92.0,1.49,0.159,0.044000000000000004
5.0,85.0,1.64,0.12,0.043
17.0,74.0,1.87,0.245,0.187
29.0,63.0,1.67,0.325,0.27399999999999997
9.0,79.0,1.08,0.361,0.106
9.0,85.0,1.45,0.239,0.084
63.0,26.0,1.38,0.37799999999999995,0.278
58.0,24.0,1.53,0.37799999999999995,0.313
40.0,26.0,1.23,0.345,0.245
43.0,22.0,1.35,0.37799999999999995,0.28800000000000003
47.0,24.0,1.37,0.431,0.364
41.0,32.0,1.44,0.41200000000000003,0.33399999999999996
40.0,26.0,0.74,0.33399999999999996,0.242
43.0,22.0,1.17,0.413,0.32
47.0,24.0,1.38,0.44299999999999995,0.341
44.0,39.0,1.25,0.385,0.27899999999999997
49.0,34.0,1.44,0.381,0.29600000000000004
54.0,32.0,1.49,0.359,0.295
57.0,30.0,1.51,0.364,0.301
43.0,22.0,1.01,0.386,0.264
46.0,18.0,1.29,0.36700000000000005,0.254
52.0,17.0,1.41,0.341,0.262
53.0,19.0,1.46,0.36200000000000004,0.298
63.0,10.0,1.55,0.39799999999999996,0.355
5.0,88.0,1.36,0.154,0.083
7.0,84.0,1.72,0.142,0.079
9.0,82.0,1.63,0.146,0.07400000000000001
22.0,68.0,1.65,0.249,0.196
42.0,50.0,1.52,0.366,0.315
48.0,41.0,1.56,0.389,0.331
46.0,42.0,1.62,0.408,0.33799999999999997
17.0,77.0,1.32,0.247,0.16
24.0,69.0,1.51,0.23600000000000002,0.17
31.0,64.0,1.4,0.217,0.153
31.0,64.0,1.56,0.222,0.17300000000000001
9.0,86.0,1.3,0.182,0.121
10.0,84.0,1.42,0.198,0.127
13.0,81.0,1.45,0.326,0.267
49.0,41.0,1.49,0.379,0.322
29.0,54.0,1.61,0.35100000000000003,0.263
29.0,54.0,1.81,0.311,0.184
54.0,39.0,1.3159999999999998,0.37799999999999995,0.262
54.0,32.0,1.327,0.46399999999999997,0.34299999999999997
49.0,33.0,1.453,0.36,0.23
53.0,31.0,1.4609999999999999,0.408,0.27899999999999997
59.0,25.0,1.39,0.467,0.319
59.0,24.0,1.249,0.552,0.342
26.0,57.0,1.295,0.321,0.221
61.0,23.0,1.321,0.462,0.358
58.0,22.0,1.235,0.474,0.35100000000000003
60.0,16.0,1.253,0.488,0.377
59.0,23.0,1.17,0.505,0.38299999999999995
76.0,12.0,0.9690000000000001,0.589,0.48100000000000004
24.4,44.1,1.54,0.251,0.141
48.4,26.7,1.61,0.295,0.205
53.6,22.0,1.57,0.33399999999999996,0.25
32.2,32.7,1.64,0.309,0.21
29.0,44.0,1.17,0.345,
36.0,40.0,1.21,0.34600000000000003,
38.0,39.0,1.27,0.312,
38.0,39.0,1.38,0.297,
11.0,79.5,1.62,0.12300000000000001,0.055999999999999994
26.0,62.7,1.72,0.215,0.11699999999999999
20.6,70.6,1.73,0.136,0.076
33.5,60.7,1.82,0.207,0.151
27.0,59.0,1.453,0.282,0.263
48.0,40.0,1.47,0.41600000000000004,0.275
36.0,30.0,1.439,0.419,0.268
31.0,48.0,1.44,0.35200000000000004,0.221
30.0,42.0,1.53,0.33,0.205
45.0,32.0,1.61,0.33399999999999996,0.289
72.0,12.0,1.47,0.42,0.385
71.0,11.0,1.54,0.39899999999999997,0.366
4.2,91.8,1.62,0.094,0.062
4.2,91.9,1.62,0.064,0.040999999999999995
27.8,66.9,1.8,0.218,0.184
4.7,93.6,1.54,0.065,0.046
4.0,94.8,1.71,0.049,0.039
4.8,93.6,1.71,0.049,0.038
6.7,92.7,1.74,0.055,0.044000000000000004
7.4,91.5,1.68,0.066,0.052000000000000005
6.1,92.5,1.57,0.07400000000000001,0.053
11.8,86.7,1.68,0.08800000000000001,0.069
14.9,83.8,1.65,0.09699999999999999,0.07
15.0,82.8,1.68,0.10300000000000001,0.068
11.7,76.0,1.51,0.171,0.08900000000000001
11.8,77.3,1.77,0.153,0.087
36.0,55.4,1.68,0.175,0.079
21.2,67.5,1.53,0.262,0.15
35.0,53.8,1.39,0.305,0.207
24.2,60.7,1.46,0.316,0.184
21.7,66.0,1.61,0.282,0.177
23.7,60.5,1.5,0.318,0.195
26.6,60.7,1.56,0.294,0.15
13.9,81.6,1.53,0.195,0.057999999999999996
13.3,83.6,1.53,0.184,0.067
38.8,50.9,1.42,0.315,0.249
43.2,45.3,1.41,0.33,0.261
39.9,51.3,1.47,0.326,0.282
47.7,44.5,1.49,0.341,0.28
39.2,51.1,1.51,0.34600000000000003,0.22699999999999998
48.1,39.5,1.32,0.366,0.255
47.1,43.9,1.48,0.354,0.26
49.1,42.8,1.56,0.34600000000000003,0.287
50.2,43.4,1.62,0.33899999999999997,0.297
48.4,45.2,1.62,0.327,0.278
49.9,37.1,1.44,0.337,0.235
47.2,36.1,1.49,0.349,0.24
44.4,41.0,1.47,0.35600000000000004,0.27699999999999997
45.8,42.4,1.56,0.337,0.244
32.0,55.1,1.58,0.319,0.226
47.0,36.6,1.59,0.327,0.204
18.0,73.0,1.6,0.226,0.094
55.8,33.0,1.41,0.348,0.28300000000000003
51.7,34.7,1.46,0.381,0.28300000000000003
42.7,41.2,1.54,0.322,0.262
37.1,43.4,1.57,0.303,0.222
37.4,42.9,1.55,0.282,0.21100000000000002
14.0,59.0,1.51,0.247,0.10099999999999999
17.0,58.0,1.59,0.242,0.124
19.0,59.0,1.7,0.266,0.154
12.0,56.0,1.59,0.225,0.075
34.0,47.0,1.64,0.278,0.198
32.0,52.0,1.54,0.377,0.252
10.0,58.0,1.43,0.24,0.084
14.0,54.0,1.54,0.182,0.102
34.0,47.0,1.3,0.457,0.175
32.0,52.0,1.4,0.43700000000000006,0.273
29.0,43.0,1.09,0.325,0.21100000000000002
38.0,39.0,1.22,0.314,0.175
38.0,39.0,1.38,0.289,0.184
29.0,43.0,1.09,0.385,0.168
38.0,39.0,1.27,0.355,0.171
38.0,39.0,1.35,0.33899999999999997,0.177
10.0,73.0,1.48,0.129,0.040999999999999995
18.0,61.0,1.64,0.17600000000000002,0.099
17.0,68.0,1.62,0.223,0.172
21.0,56.0,1.57,0.284,
28.0,52.0,1.58,0.253,
28.0,51.0,1.58,0.285,
9.0,74.0,1.61,0.22899999999999998,0.06
7.0,81.0,1.58,0.17,0.05
10.0,77.0,1.71,0.16,0.06
60.0,33.0,1.61,0.37,0.3
6.0,81.0,1.37,0.19899999999999998,0.05
6.0,82.0,1.74,0.18899999999999997,0.05
17.0,70.0,1.8,0.18899999999999997,0.05
9.0,82.0,1.58,0.18899999999999997,0.06
15.0,78.0,1.8,0.23,0.1
14.0,81.0,1.66,0.16899999999999998,0.07
41.0,27.0,1.2,0.36,0.22
46.0,27.0,1.37,0.44,0.28
26.0,49.0,1.51,0.31,0.17
31.0,44.0,1.52,0.34,0.21
25.0,48.0,1.6,0.34,0.18
23.0,62.0,1.315,0.16,0.1
23.0,62.0,1.55,0.21,0.13
23.0,64.0,1.545,0.19,0.12
23.0,63.0,1.735,0.22,0.14
33.0,53.0,1.725,0.24,0.18
42.0,47.0,1.69,0.3,0.23
48.0,41.0,1.65,0.29,0.21
21.0,66.0,1.385,0.17,0.1
22.0,65.0,1.51,0.18,0.11
21.0,65.0,1.59,0.19,0.12
22.0,64.0,1.62,0.19,0.12
31.0,57.0,1.775,0.23,0.16
39.0,55.0,1.73,0.27,0.2
40.0,50.0,1.635,0.27,0.2
8.0,73.0,1.87,0.17,0.06
12.0,69.0,1.83,0.17,0.07
33.0,50.0,1.56,0.37,0.31
50.0,37.0,1.6,0.37,0.34
9.0,73.0,1.75,0.16,0.06
22.0,59.0,1.82,0.16,0.06
67.0,23.0,1.76,0.3,0.26
71.0,19.0,1.62,0.34,0.3
