clay,sand,bd,h333,h15000
12.0,74.0,1.58,0.19,0.09
24.0,55.0,1.61,0.26,0.19
20.0,71.0,1.44,0.24,0.15
13.0,72.0,1.48,0.24,0.11
11.0,69.0,1.46,0.26,0.11
16.0,59.0,1.38,0.28,0.17
15.0,75.0,1.71,0.27,0.19
15.0,75.0,1.52,0.2,0.09
11.0,68.0,1.54,0.25,0.07
9.0,73.0,1.53,0.21,0.05
21.0,63.0,1.57,0.24,0.15
16.0,66.0,1.66,0.23,0.14
18.0,65.0,1.67,0.2,0.12
18.0,65.0,1.74,0.22,0.11
14.0,65.0,1.46,0.25,0.11
13.0,68.0,1.54,0.21,0.1
15.0,67.0,1.56,0.17,0.06
18.0,68.0,1.55,0.27,0.21
17.0,37.0,1.58,0.23,0.14
11.0,74.0,1.55,0.18,0.07
12.0,76.0,1.56,0.25,0.09
17.0,49.0,1.43,0.25,0.12
22.0,67.0,1.47,0.22,0.09
23.0,65.0,1.5,0.22,0.14
14.0,68.0,1.79,0.15,0.11
19.0,73.0,1.7,0.22,0.14
31.0,44.0,1.2,0.34,0.23
17.0,71.0,1.58,0.19,0.12
10.0,71.0,1.7,0.2,0.11
13.0,70.0,1.65,0.21,0.11
19.0,63.0,1.55,0.24,0.12
15.0,47.0,1.62,0.19,0.1
9.0,57.0,1.61,0.23,0.1
16.0,72.0,1.63,0.18,0.1
19.0,72.0,1.61,0.2,0.1
15.0,64.0,1.47,0.23,0.13
13.0,67.0,1.45,0.25,0.13
23.0,63.0,1.38,0.24,0.16
20.0,66.0,1.57,0.21,0.12
8.0,83.0,1.61,0.13,0.06
9.0,81.0,1.7,0.13,0.06
37.0,54.0,1.6,0.16,0.08
42.0,41.0,1.43,0.26,0.24
61.0,24.0,1.42,0.33,0.31
11.0,72.0,1.6,0.19,0.11
15.0,73.0,1.61,0.26,0.22
23.0,52.0,1.62,0.24,0.17
47.0,42.0,1.54,0.28,0.24
21.0,52.0,1.64,0.23,0.12
28.0,60.0,1.59,0.24,0.17
38.0,48.0,1.58,0.27,0.18
26.0,52.0,1.46,0.33,0.12
33.0,48.0,1.43,0.4,0.19
41.0,35.0,1.25,0.42,0.22
19.0,63.0,1.31,0.41,0.13
26.0,49.0,1.49,0.37,0.14
32.0,56.0,1.56,0.39,0.08
37.0,56.0,1.48,0.43,0.17
25.0,59.0,1.81,0.17,0.13
17.0,65.0,1.62,0.25,0.19
29.0,51.0,1.55,0.27,0.21
25.0,57.0,1.49,0.26,0.12
32.0,52.0,1.42,0.17,0.11
21.0,59.0,1.64,0.34,0.23
21.0,60.0,1.59,0.29,0.21
21.0,58.0,1.5,0.37,0.3
34.0,50.0,1.61,0.25,0.2
31.0,53.0,1.62,0.22,0.16
15.0,73.0,1.52,0.17,0.1
29.0,63.0,1.55,0.2,0.16
67.0,28.0,1.53,0.25,0.2
12.0,76.0,1.7,0.25,0.21
29.0,52.0,1.64,0.28,0.23
66.0,27.0,1.5,0.32,0.29
12.0,73.0,1.67,0.29,0.23
63.0,22.0,1.78,0.29,0.23
32.0,58.0,1.57,0.32,0.32
28.0,51.0,1.7,0.28,0.2
19.0,65.0,1.48,0.19,0.07
70.0,21.0,1.67,0.3,0.25
29.0,58.0,1.68,0.29,0.21
39.0,52.0,1.7,0.18,0.1
56.0,23.0,1.73,0.25,0.19
33.0,54.0,1.64,0.29,0.25
15.0,74.0,1.58,0.2,0.11
13.0,78.0,1.95,0.17,0.1
39.0,50.0,1.5,0.25,0.18
24.0,63.0,1.52,0.22,0.16
21.0,62.0,1.48,0.31,0.29
56.0,14.0,1.63,0.25,0.21
46.0,41.0,1.48,0.38,0.26
35.0,49.0,1.49,0.3,0.24
32.0,60.0,1.59,0.24,0.18
47.0,42.0,1.53,0.36,0.32
47.0,32.0,1.73,0.27,0.22
23.0,58.0,1.55,0.31,0.27
21.0,63.0,1.6,0.21,0.13
41.0,52.0,1.68,0.29,0.22
57.0,30.0,1.44,0.3,0.21
13.0,76.0,1.57,0.19,0.12
69.0,19.0,1.73,0.25,0.22
38.0,46.0,1.59,0.32,0.26
57.0,29.0,1.6,0.32,0.28
34.0,52.0,1.71,0.26,0.22
19.0,53.0,1.59,0.28,0.26
37.0,39.0,1.71,0.26,0.2
37.0,58.0,1.63,0.18,0.1
26.0,54.0,1.39,0.2,0.12
25.0,61.0,1.55,0.2,0.11
46.0,44.0,1.48,0.26,0.18
23.0,67.0,1.48,0.24,0.12
11.0,71.0,1.3869999999999998,0.251,0.105
10.0,75.0,1.217,0.207,0.079
10.0,74.0,1.349,0.23,0.083
10.0,74.0,1.262,0.265,0.10300000000000001
10.0,75.0,1.236,0.20800000000000002,0.07200000000000001
10.0,74.0,1.328,0.23,0.084
10.0,73.0,1.425,0.225,0.08900000000000001
9.0,74.0,1.4469999999999998,0.205,0.09
11.0,72.0,1.469,0.215,0.094
10.0,73.0,1.413,0.207,0.085
10.0,73.0,1.405,0.213,0.087
10.0,75.0,1.465,0.22,0.095
43.0,20.0,1.14,0.46299999999999997,0.28
40.0,22.0,1.112,0.431,0.256
40.0,22.0,1.08,0.345,0.254
42.0,21.0,1.146,0.441,0.28300000000000003
44.0,19.0,1.1179999999999999,0.365,0.245
41.0,21.0,1.044,0.33299999999999996,0.23199999999999998
41.0,24.0,1.2429999999999999,0.43,0.321
37.0,27.0,1.339,0.45399999999999996,0.34299999999999997
40.0,26.0,1.3559999999999999,0.457,0.371
41.0,23.0,1.159,0.43700000000000006,0.281
42.0,20.0,1.143,0.503,0.29
42.0,21.0,1.205,0.506,0.29600000000000004
42.0,19.0,1.2690000000000001,0.485,0.317
42.0,19.0,1.202,0.425,0.253
44.0,18.0,1.189,0.451,0.306
38.0,24.0,1.265,0.451,0.326
37.0,26.0,1.2229999999999999,0.419,0.313
40.0,22.0,1.24,0.44799999999999995,0.325
34.0,30.0,0.708,0.406,0.223
44.0,26.0,1.127,0.401,0.292
35.0,28.0,0.905,0.455,0.24600000000000002
40.0,29.0,1.064,0.442,0.212
38.0,28.0,0.8340000000000001,0.5720000000000001,0.29
43.0,25.0,1.093,0.42,0.28600000000000003
46.0,23.0,1.213,0.402,0.312
42.0,29.0,1.3230000000000002,0.43200000000000005,0.313
39.0,34.0,1.3630000000000002,0.42100000000000004,0.307
22.0,70.0,1.47,0.28300000000000003,0.127
22.0,70.0,1.3,0.201,0.105
16.0,77.0,1.2919999999999998,0.222,0.1
20.0,71.0,1.45,0.259,0.14400000000000002
19.0,72.0,1.508,0.23,0.13
20.0,74.0,1.3780000000000001,0.19699999999999998,0.102
24.0,66.0,1.45,0.264,0.16399999999999998
41.0,52.0,1.5290000000000001,0.265,0.149
20.0,70.0,1.4280000000000002,0.20199999999999999,0.107
19.0,72.0,1.574,0.251,0.14
20.0,73.0,1.63,0.23600000000000002,0.14400000000000002
17.0,74.0,1.672,0.268,0.12300000000000001
20.0,68.0,1.643,0.265,0.155
17.0,73.0,1.5430000000000001,0.21,0.139
15.0,77.0,1.588,0.209,0.102
20.0,69.0,1.452,0.23199999999999998,0.14800000000000002
15.0,76.0,1.51,0.17,0.091
10.0,86.0,1.4869999999999999,0.083,0.045
24.0,63.0,1.328,0.24,0.168
26.0,62.0,1.265,0.242,0.159
26.0,61.0,1.151,0.28800000000000003,0.131
24.0,62.0,1.355,0.327,0.174
26.0,62.0,1.202,0.281,0.149
27.0,60.0,1.179,0.309,0.153
25.0,63.0,1.52,0.289,0.19
26.0,61.0,1.6380000000000001,0.267,0.19699999999999998
30.0,56.0,1.443,0.307,0.201
24.0,63.0,1.598,0.33899999999999997,0.184
24.0,63.0,1.588,0.341,0.17800000000000002
27.0,60.0,1.473,0.36200000000000004,0.17
25.0,63.0,1.565,0.239,0.136
23.0,66.0,1.527,0.25,0.14
24.0,63.0,1.493,0.24,0.126
26.0,61.0,1.632,0.318,0.215
25.0,63.0,1.601,0.304,0.195
28.0,58.0,1.58,0.322,0.20600000000000002
12.0,69.0,1.4769999999999999,0.22699999999999998,0.065
13.0,68.0,1.475,0.22399999999999998,0.07400000000000001
13.0,72.0,1.446,0.231,0.067
11.0,71.0,1.4709999999999999,0.22399999999999998,0.078
15.0,69.0,1.473,0.24100000000000002,0.076
11.0,69.0,1.4140000000000001,0.237,0.078
16.0,71.0,1.671,0.226,0.114
24.0,66.0,1.485,0.275,0.155
22.0,65.0,1.8840000000000001,0.307,0.191
9.0,72.0,1.453,0.214,0.066
11.0,71.0,1.354,0.21,0.068
11.0,70.0,1.4509999999999998,0.22399999999999998,0.075
10.0,71.0,1.554,0.22,0.062
13.0,69.0,1.5419999999999998,0.237,0.08
12.0,68.0,1.541,0.22899999999999998,0.08
19.0,73.0,1.736,0.26899999999999996,0.131
27.0,64.0,1.784,0.311,0.215
28.0,64.0,1.716,0.33799999999999997,0.17800000000000002
6.0,81.0,1.51,0.16399999999999998,0.049
6.0,81.0,1.5130000000000001,0.165,0.05
6.0,81.0,1.4969999999999999,0.188,0.049
7.0,77.0,1.5090000000000001,0.177,0.057
7.0,80.0,1.484,0.179,0.055
6.0,82.0,1.4609999999999999,0.156,0.052000000000000005
10.0,74.0,1.5730000000000002,0.193,0.055999999999999994
7.0,75.0,1.518,0.18899999999999997,0.044000000000000004
10.0,71.0,1.5659999999999998,0.18899999999999997,0.071
7.0,80.0,1.4480000000000002,0.151,0.051
6.0,81.0,1.5019999999999998,0.161,0.05
6.0,82.0,1.45,0.14,0.038
8.0,77.0,1.5659999999999998,0.183,0.064
7.0,76.0,1.5830000000000002,0.168,0.073
8.0,77.0,1.632,0.198,0.069
14.0,70.0,1.662,0.21600000000000003,0.102
8.0,73.0,1.554,0.207,0.077
10.0,74.0,1.485,0.2,0.053
36.0,21.0,0.632,0.38,0.172
34.0,22.0,0.647,0.376,0.179
35.0,23.0,0.644,0.355,0.172
33.0,24.0,0.737,0.457,0.205
35.0,21.0,0.7090000000000001,0.379,0.201
33.0,24.0,0.765,0.44799999999999995,0.22699999999999998
46.0,16.0,0.907,0.47200000000000003,0.35100000000000003
40.0,31.0,1.264,0.457,0.33299999999999996
